Latitude (decimal degrees):	2.303
Longitude (decimal degrees):	32.964
Elevation (m):	1120
Radiation database:	PVGIS-SARAH2


Slope: 4 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190215:1306,287.66,386.67,42.02,33.17,3.66,0.0
20190215:1406,222.19,301.58,27.72,32.29,4.0,0.0
20190215:1506,81.4,126.53,13.21,30.93,4.0,0.0
20190215:1606,0.0,0.0,0.0,29.89,3.17,0.0
20190215:1706,0.0,0.0,0.0,28.69,2.41,0.0
20190215:1806,0.0,0.0,0.0,27.89,2.28,0.0
20190215:1906,0.0,0.0,0.0,27.46,2.21,0.0
20190215:2006,0.0,0.0,0.0,26.81,2.21,0.0
20190215:2106,0.0,0.0,0.0,26.03,2.28,0.0
20190215:2206,0.0,0.0,0.0,25.38,2.21,0.0
20190215:2306,0.0,0.0,0.0,24.81,2.14,0.0
20190216:0006,0.0,0.0,0.0,24.25,2.07,0.0
20190216:0106,0.0,0.0,0.0,23.8,1.79,0.0
20190216:0206,0.0,0.0,0.0,23.34,1.59,0.0
20190216:0306,0.0,0.0,0.0,22.9,1.38,0.0
20190216:0406,0.0,0.0,0.0,22.23,1.31,0.0
20190216:0506,151.15,222.22,15.02,23.02,1.03,0.0
20190216:0606,371.63,488.16,29.54,26.47,1.86,0.0
20190216:0706,547.68,719.6,43.84,28.75,2.76,0.0
20190216:0806,636.06,849.33,57.62,30.65,3.38,0.0
20190216:0906,677.24,925.5,69.75,32.05,2.9,0.0
20190216:1006,726.13,1010.61,75.33,33.05,2.55,0.0
20190216:1106,677.28,932.13,68.45,32.73,2.62,0.0
20190216:1206,500.24,674.33,55.98,32.94,2.83,0.0
20190216:1306,223.29,304.2,42.1,32.96,3.17,0.0
20190216:1406,113.96,163.9,27.77,32.11,3.31,0.0
20190216:1506,46.55,77.09,13.23,31.17,3.17,0.0
20190216:1606,0.0,0.0,0.0,29.83,2.76,0.0
20190216:1706,0.0,0.0,0.0,28.77,2.28,0.0
20190216:1806,0.0,0.0,0.0,28.07,2.07,0.0
20190216:1906,0.0,0.0,0.0,27.55,2.21,0.0
20190216:2006,0.0,0.0,0.0,26.83,2.21,0.0
20190216:2106,0.0,0.0,0.0,26.41,2.21,0.0
20190216:2206,0.0,0.0,0.0,25.87,2.21,0.0
20190216:2306,0.0,0.0,0.0,25.27,2.14,0.0
20190217:0006,0.0,0.0,0.0,24.59,1.93,0.0
20190217:0106,0.0,0.0,0.0,24.0,1.93,0.0
20190217:0206,0.0,0.0,0.0,23.47,1.86,0.0
20190217:0306,0.0,0.0,0.0,23.0,1.86,0.0
20190217:0406,0.0,0.0,0.0,22.54,1.86,0.0
20190217:0506,153.03,223.84,15.06,23.05,1.52,0.0
20190217:0606,324.15,423.13,29.6,26.02,2.48,0.0
20190217:0706,556.66,729.43,43.94,28.59,3.03,0.0
20190217:0806,685.1,916.38,57.77,30.83,3.66,0.0
20190217:0906,716.96,970.66,70.01,31.84,3.86,0.0
20190217:1006,750.14,1028.62,75.68,32.94,3.72,0.0
20190217:1106,702.7,960.61,68.67,33.02,3.45,0.0
20190217:1206,109.78,159.81,56.11,33.82,3.24,0.0
20190217:1306,213.34,293.06,42.18,34.06,3.1,0.0
20190217:1406,300.76,407.78,27.81,33.61,3.24,0.0
20190217:1506,89.73,140.41,13.25,32.96,3.24,0.0
20190217:1606,0.0,0.0,0.0,31.96,2.55,0.0
20190217:1706,0.0,0.0,0.0,30.68,2.07,0.0
20190217:1806,0.0,0.0,0.0,29.27,1.59,0.0
20190217:1906,0.0,0.0,0.0,28.02,1.86,0.0
20190217:2006,0.0,0.0,0.0,27.12,1.86,0.0
20190217:2106,0.0,0.0,0.0,26.21,1.79,0.0
20190217:2206,0.0,0.0,0.0,25.27,1.45,0.0
20190217:2306,0.0,0.0,0.0,23.99,1.1,0.0
20190218:0006,0.0,0.0,0.0,23.06,1.31,0.0
20190218:0106,0.0,0.0,0.0,22.35,1.45,0.0
20190218:0206,0.0,0.0,0.0,21.72,1.52,0.0
20190218:0306,0.0,0.0,0.0,21.01,1.45,0.0
20190218:0406,0.0,0.0,0.0,20.44,1.45,0.0
20190218:0506,144.74,208.81,15.11,21.31,1.03,0.0
20190218:0606,365.89,480.55,29.68,25.61,1.38,0.0
20190218:0706,536.03,727.78,44.04,28.32,0.41,0.0
20190218:0806,666.46,918.88,57.93,30.43,1.45,0.0
20190218:0906,749.03,1042.54,70.26,31.1,2.07,0.0
20190218:1006,781.31,1091.02,76.03,31.7,2.41,0.0
20190218:1106,697.43,963.14,68.89,32.12,2.41,0.0
20190218:1206,521.32,707.94,56.23,32.85,2.28,0.0
20190218:1306,447.82,603.8,42.26,33.02,2.07,0.0
20190218:1406,238.5,326.29,27.85,32.72,1.79,0.0
20190218:1506,113.22,179.46,13.27,32.45,1.79,0.0
20190218:1606,0.0,0.0,0.0,31.47,1.86,0.0
20190218:1706,0.0,0.0,0.0,29.82,2.28,0.0
20190218:1806,0.0,0.0,0.0,28.53,2.41,0.0
20190218:1906,0.0,0.0,0.0,27.64,2.07,0.0
20190218:2006,0.0,0.0,0.0,26.86,1.86,0.0
20190218:2106,0.0,0.0,0.0,25.99,1.66,0.0
20190218:2206,0.0,0.0,0.0,25.42,1.45,0.0
20190218:2306,0.0,0.0,0.0,24.38,1.38,0.0
20190219:0006,0.0,0.0,0.0,23.59,1.45,0.0
20190219:0106,0.0,0.0,0.0,22.85,1.45,0.0
20190219:0206,0.0,0.0,0.0,22.3,1.52,0.0
20190219:0306,0.0,0.0,0.0,21.82,1.59,0.0
20190219:0406,0.0,0.0,0.0,21.38,1.52,0.0
20190219:0506,149.14,216.35,15.16,21.96,1.03,0.0
20190219:0606,365.39,482.29,29.75,26.36,1.24,0.0
20190219:0706,539.46,725.26,44.15,28.88,1.1,0.0
20190219:0806,667.6,916.34,58.08,31.06,1.86,0.0
20190219:0906,737.8,1027.62,70.52,32.69,2.41,0.0
20190219:1006,762.55,1069.93,76.38,33.25,2.48,0.0
20190219:1106,734.24,1027.93,69.11,33.8,2.41,0.0
20190219:1206,649.84,895.24,56.35,34.15,2.48,0.0
20190219:1306,495.38,671.95,42.33,34.78,2.48,0.0
20190219:1406,307.94,419.99,27.89,34.17,2.62,0.0
20190219:1506,120.57,194.1,13.29,33.7,2.83,0.0
20190219:1606,0.0,0.0,0.0,32.43,2.21,0.0
20190219:1706,0.0,0.0,0.0,30.55,2.21,0.0
20190219:1806,0.0,0.0,0.0,29.17,2.41,0.0
20190219:1906,0.0,0.0,0.0,28.16,2.41,0.0
20190219:2006,0.0,0.0,0.0,27.28,2.34,0.0
20190219:2106,0.0,0.0,0.0,26.49,2.14,0.0
20190219:2206,0.0,0.0,0.0,25.65,1.79,0.0
20190219:2306,0.0,0.0,0.0,24.85,1.59,0.0
20190220:0006,0.0,0.0,0.0,23.93,1.52,0.0
20190220:0106,0.0,0.0,0.0,23.38,1.52,0.0
20190220:0206,0.0,0.0,0.0,23.0,1.45,0.0
20190220:0306,0.0,0.0,0.0,22.49,1.45,0.0
20190220:0406,0.0,0.0,0.0,21.97,1.45,0.0
20190220:0506,138.43,200.49,15.21,22.82,1.17,0.0
20190220:0606,351.22,460.67,29.82,25.95,1.66,0.0
20190220:0706,511.39,678.82,44.25,28.46,1.66,0.0
20190220:0806,653.29,893.16,58.24,30.51,1.79,0.0
20190220:0906,739.32,1030.32,70.78,32.41,2.28,0.0
20190220:1006,778.02,1084.94,76.74,33.02,2.83,0.0
20190220:1106,729.0,1002.76,69.32,33.23,3.24,0.0
20190220:1206,648.21,882.43,56.46,33.65,3.1,0.0
20190220:1306,144.96,204.76,42.39,33.38,2.69,0.0
20190220:1406,315.66,428.37,27.93,33.03,2.48,0.0
20190220:1506,122.43,197.26,13.3,32.87,2.41,0.0
20190220:1606,0.0,0.0,0.0,31.94,1.66,0.0
20190220:1706,0.0,0.0,0.0,30.66,0.9,0.0
20190220:1806,0.0,0.0,0.0,29.17,1.45,0.0
20190220:1906,0.0,0.0,0.0,28.19,1.45,0.0
20190220:2006,0.0,0.0,0.0,26.99,1.79,0.0
20190220:2106,0.0,0.0,0.0,26.1,1.72,0.0
20190220:2206,0.0,0.0,0.0,25.35,1.45,0.0
20190220:2306,0.0,0.0,0.0,24.52,1.38,0.0
20190221:0006,0.0,0.0,0.0,23.82,1.45,0.0
20190221:0106,0.0,0.0,0.0,23.17,1.52,0.0
20190221:0206,0.0,0.0,0.0,22.73,1.52,0.0
20190221:0306,0.0,0.0,0.0,22.34,1.52,0.0
20190221:0406,0.0,0.0,0.0,22.04,1.52,0.0
20190221:0506,119.07,171.74,15.27,22.96,1.17,0.0
20190221:0606,363.01,474.12,29.9,25.67,2.0,0.0
20190221:0706,556.97,721.33,44.36,26.1,2.9,0.0
20190221:0806,590.82,781.56,58.4,27.97,2.76,0.0
20190221:0906,597.94,802.22,71.03,28.92,2.48,0.0
20190221:1006,692.52,953.43,77.1,30.29,2.07,0.0
20190221:1106,224.87,305.64,69.53,30.98,1.86,0.0
20190221:1206,514.06,693.88,56.57,32.04,2.34,0.0
20190221:1306,413.09,552.79,42.45,32.79,2.69,0.0
20190221:1406,160.3,222.5,27.96,31.58,2.83,0.0
20190221:1506,29.12,52.94,13.31,29.83,2.55,0.0
20190221:1606,0.0,0.0,0.0,29.27,1.24,0.0
20190221:1706,0.0,0.0,0.0,28.23,0.97,0.0
20190221:1806,0.0,0.0,0.0,27.09,1.31,0.0
20190221:1906,0.0,0.0,0.0,26.38,1.31,0.0
20190221:2006,0.0,0.0,0.0,25.68,0.83,0.0
20190221:2106,0.0,0.0,0.0,24.64,1.52,0.0
20190221:2206,0.0,0.0,0.0,23.96,1.86,0.0
20190221:2306,0.0,0.0,0.0,23.36,1.72,0.0
20190222:0006,0.0,0.0,0.0,22.88,1.72,0.0
20190222:0106,0.0,0.0,0.0,22.59,1.79,0.0
20190222:0206,0.0,0.0,0.0,22.22,1.93,0.0
20190222:0306,0.0,0.0,0.0,22.02,1.93,0.0
20190222:0406,0.0,0.0,0.0,21.63,1.86,0.0
20190222:0506,153.75,223.16,15.33,22.29,1.66,0.0
20190222:0606,382.6,496.91,29.98,25.14,2.41,0.0
20190222:0706,567.53,741.54,44.47,27.24,2.69,0.0
20190222:0806,630.41,835.06,58.56,29.55,3.66,0.0
20190222:0906,630.08,844.19,71.29,30.92,3.79,0.0
20190222:1006,711.61,968.38,77.46,31.67,3.52,0.0
20190222:1106,665.1,907.65,69.73,32.64,3.17,0.0
20190222:1206,533.49,720.45,56.68,32.99,2.9,0.0
20190222:1306,427.94,573.32,42.51,32.98,2.69,0.0
20190222:1406,195.38,268.57,27.99,32.45,2.62,0.0
20190222:1506,69.8,109.98,13.32,31.91,2.48,0.0
20190222:1606,0.0,0.0,0.0,30.94,1.72,0.0
20190222:1706,0.0,0.0,0.0,29.46,1.1,0.0
20190222:1806,0.0,0.0,0.0,27.96,1.03,0.0
20190222:1906,0.0,0.0,0.0,26.8,0.83,0.0
20190222:2006,0.0,0.0,0.0,26.05,1.17,0.0
20190222:2106,0.0,0.0,0.0,25.02,1.17,0.0
20190222:2206,0.0,0.0,0.0,24.22,1.1,0.0
20190222:2306,0.0,0.0,0.0,23.06,1.1,0.0
20190223:0006,0.0,0.0,0.0,22.43,1.17,0.0
20190223:0106,0.0,0.0,0.0,22.08,1.31,0.0
20190223:0206,0.0,0.0,0.0,21.55,1.31,0.0
20190223:0306,0.0,0.0,0.0,21.08,1.24,0.0
20190223:0406,0.0,0.0,0.0,20.86,1.03,0.0
20190223:0506,145.34,210.67,15.39,21.89,0.28,0.0
20190223:0606,361.75,477.52,30.06,24.69,0.41,0.0
20190223:0706,538.41,719.29,44.58,26.19,0.62,0.0
20190223:0806,645.43,893.77,58.72,28.19,0.55,0.0
20190223:0906,521.27,719.3,71.55,30.0,0.55,0.0
20190223:1006,457.05,622.72,77.82,30.78,1.17,0.0
20190223:1106,687.06,956.97,69.93,31.28,1.59,0.0
20190223:1206,661.98,910.91,56.78,31.76,1.79,0.0
20190223:1306,458.71,618.13,42.56,30.33,0.97,0.0
20190223:1406,325.93,439.06,28.01,29.91,1.38,0.0
20190223:1506,117.07,184.0,13.32,28.97,1.38,0.0
20190223:1606,0.0,0.0,0.0,27.35,1.72,0.0
20190223:1706,0.0,0.0,0.0,26.23,1.38,0.0
20190223:1806,0.0,0.0,0.0,24.51,1.38,0.0
20190223:1906,0.0,0.0,0.0,23.66,0.55,0.0
20190223:2006,0.0,0.0,0.0,22.97,0.76,0.0
20190223:2106,0.0,0.0,0.0,22.57,0.83,0.0
20190223:2206,0.0,0.0,0.0,22.1,1.03,0.0
20190223:2306,0.0,0.0,0.0,21.63,1.24,0.0
20190224:0006,0.0,0.0,0.0,21.33,1.45,0.0
20190224:0106,0.0,0.0,0.0,21.46,1.79,0.0
20190224:0206,0.0,0.0,0.0,21.15,1.52,0.0
20190224:0306,0.0,0.0,0.0,20.79,1.38,0.0
20190224:0406,0.0,0.0,0.0,20.35,1.38,0.0
20190224:0506,41.92,67.92,15.45,21.41,1.31,0.0
20190224:0606,359.94,465.5,30.15,23.42,1.79,0.0
20190224:0706,429.15,553.27,44.7,24.46,2.28,0.0
20190224:0806,559.26,736.03,58.88,26.13,2.21,0.0
20190224:0906,548.13,728.4,71.81,26.94,2.07,0.0
20190224:1006,659.91,882.1,78.18,27.18,2.62,0.0
20190224:1106,505.72,653.8,70.12,24.75,3.38,0.0
20190224:1206,392.44,508.4,56.87,25.73,3.1,0.0
20190224:1306,192.71,258.82,42.61,26.7,1.72,0.0
20190224:1406,38.44,64.92,28.03,27.17,1.66,0.0
20190224:1506,18.18,36.96,13.32,26.07,1.24,0.0
20190224:1606,0.0,0.0,0.0,23.89,1.66,0.0
20190224:1706,0.0,0.0,0.0,22.15,1.31,0.0
20190224:1806,0.0,0.0,0.0,21.67,1.1,0.0
20190224:1906,0.0,0.0,0.0,22.08,1.45,0.0
20190224:2006,0.0,0.0,0.0,21.83,1.38,0.0
20190224:2106,0.0,0.0,0.0,21.42,1.31,0.0
20190224:2206,0.0,0.0,0.0,20.91,1.03,0.0
20190224:2306,0.0,0.0,0.0,20.45,1.1,0.0
20190225:0006,0.0,0.0,0.0,20.36,0.9,0.0
20190225:0106,0.0,0.0,0.0,20.27,0.76,0.0
20190225:0206,0.0,0.0,0.0,19.99,0.76,0.0
20190225:0306,0.0,0.0,0.0,19.59,0.9,0.0
20190225:0406,0.0,0.0,0.0,19.26,0.9,0.0
20190225:0506,59.33,90.01,15.52,20.75,0.83,0.0
20190225:0606,308.78,400.65,30.23,23.52,1.59,0.0
20190225:0706,370.23,480.72,44.81,25.23,2.0,0.0
20190225:0806,327.5,431.19,59.04,27.01,2.0,0.0
20190225:0906,615.32,828.92,72.07,28.05,2.0,0.0
20190225:1006,702.83,963.1,78.55,29.17,2.07,0.0
20190225:1106,597.85,807.56,70.31,29.73,2.28,0.0
20190225:1206,639.9,862.47,56.96,30.0,2.34,0.0
20190225:1306,383.11,508.21,42.66,30.37,2.34,0.0
20190225:1406,279.07,373.72,28.05,30.16,2.62,0.0
20190225:1506,96.8,149.33,13.32,29.2,2.55,0.0
20190225:1606,0.0,0.0,0.0,28.27,1.52,0.0
20190225:1706,0.0,0.0,0.0,26.88,1.38,0.0
20190225:1806,0.0,0.0,0.0,25.79,1.52,0.0
20190225:1906,0.0,0.0,0.0,24.46,1.52,0.0
20190225:2006,0.0,0.0,0.0,23.22,1.38,0.0
20190225:2106,0.0,0.0,0.0,22.52,1.31,0.0
20190225:2206,0.0,0.0,0.0,21.99,1.45,0.0
20190225:2306,0.0,0.0,0.0,21.07,1.38,0.0
20190226:0006,0.0,0.0,0.0,20.49,1.31,0.0
20190226:0106,0.0,0.0,0.0,19.92,1.17,0.0
20190226:0206,0.0,0.0,0.0,19.54,1.03,0.0
20190226:0306,0.0,0.0,0.0,19.23,1.03,0.0
20190226:0406,0.0,0.0,0.0,18.78,1.1,0.0
20190226:0506,168.15,243.43,15.58,20.2,0.69,0.0
20190226:0606,399.13,522.1,30.32,24.84,1.45,0.0
20190226:0706,578.49,764.08,44.92,26.8,1.79,0.0
20190226:0806,708.32,952.64,59.2,29.02,2.76,0.0
20190226:0906,785.51,1071.99,72.33,30.86,3.45,0.0
20190226:1006,813.26,1120.33,78.92,32.18,3.66,0.0
20190226:1106,779.19,1070.19,70.49,33.17,3.79,0.0
20190226:1206,689.98,936.81,57.05,33.87,3.79,0.0
20190226:1306,538.57,720.66,42.7,34.16,3.79,0.0
20190226:1406,350.71,474.55,28.06,34.0,3.86,0.0
20190226:1506,118.12,188.5,13.31,33.18,3.66,0.0
20190226:1606,0.0,0.0,0.0,31.27,2.62,0.0
20190226:1706,0.0,0.0,0.0,29.13,2.69,0.0
20190226:1806,0.0,0.0,0.0,27.9,3.24,0.0
20190226:1906,0.0,0.0,0.0,27.05,3.45,0.0
20190226:2006,0.0,0.0,0.0,26.29,3.52,0.0
20190226:2106,0.0,0.0,0.0,25.42,2.97,0.0
20190226:2206,0.0,0.0,0.0,24.2,2.21,0.0
20190226:2306,0.0,0.0,0.0,23.06,1.79,0.0
20190227:0006,0.0,0.0,0.0,22.25,1.79,0.0
20190227:0106,0.0,0.0,0.0,21.57,1.72,0.0
20190227:0206,0.0,0.0,0.0,20.75,1.66,0.0
20190227:0306,0.0,0.0,0.0,20.21,1.59,0.0
20190227:0406,0.0,0.0,0.0,19.71,1.52,0.0
20190227:0506,150.32,214.67,15.65,20.52,0.97,0.0
20190227:0606,376.3,493.34,30.41,24.96,1.17,0.0
20190227:0706,562.85,742.96,45.04,27.49,2.0,0.0
20190227:0806,666.56,899.79,59.36,29.73,2.48,0.0
20190227:0906,716.15,979.27,72.59,31.47,3.03,0.0
20190227:1006,734.03,1012.36,79.29,32.51,3.1,0.0
20190227:1106,732.44,1011.38,70.66,33.64,3.24,0.0
20190227:1206,584.83,794.27,57.13,34.52,3.45,0.0
20190227:1306,512.34,687.11,42.73,34.97,3.93,0.0
20190227:1406,299.1,405.66,28.07,34.69,4.41,0.0
20190227:1506,118.23,189.38,13.31,33.65,4.48,0.0
20190227:1606,0.0,0.0,0.0,31.69,3.72,0.0
20190227:1706,0.0,0.0,0.0,29.79,3.79,0.0
20190227:1806,0.0,0.0,0.0,28.5,3.79,0.0
20190227:1906,0.0,0.0,0.0,27.17,3.45,0.0
20190227:2006,0.0,0.0,0.0,26.15,3.1,0.0
20190227:2106,0.0,0.0,0.0,25.02,2.55,0.0
20190227:2206,0.0,0.0,0.0,23.86,2.14,0.0
20190227:2306,0.0,0.0,0.0,22.77,1.93,0.0
20190228:0006,0.0,0.0,0.0,21.99,1.79,0.0
20190228:0106,0.0,0.0,0.0,21.4,1.79,0.0
20190228:0206,0.0,0.0,0.0,20.85,1.79,0.0
20190228:0306,0.0,0.0,0.0,20.64,1.93,0.0
20190228:0406,0.0,0.0,0.0,20.1,1.93,0.0
20190228:0506,143.44,203.54,15.73,20.56,1.52,0.0
20190228:0606,394.35,515.98,30.5,25.3,1.59,0.0
20190228:0706,561.87,743.53,45.16,28.39,2.14,0.0
20190228:0806,690.01,932.18,59.52,30.65,2.9,0.0
20190228:0906,767.09,1060.75,72.85,32.38,2.97,0.0
20190228:1006,775.42,1084.6,79.66,33.21,2.76,0.0
20190228:1106,715.28,989.41,70.83,33.78,3.03,0.0
20190228:1206,133.83,190.77,57.2,34.02,3.31,0.0
20190228:1306,214.0,293.91,42.76,34.28,3.45,0.0
20190228:1406,19.45,39.95,28.08,33.97,3.52,0.0
20190228:1506,28.59,52.94,13.29,33.4,3.45,0.0
20190228:1606,0.0,0.0,0.0,31.61,2.48,0.0
20190228:1706,0.0,0.0,0.0,29.57,2.48,0.0
20190228:1806,0.0,0.0,0.0,28.15,2.76,0.0
20190228:1906,0.0,0.0,0.0,27.0,2.28,0.0
20190228:2006,0.0,0.0,0.0,26.02,1.17,0.0
20190228:2106,0.0,0.0,0.0,24.83,0.83,0.0
20190228:2206,0.0,0.0,0.0,23.54,1.24,0.0
20190228:2306,0.0,0.0,0.0,23.09,1.93,0.0
20190301:0006,0.0,0.0,0.0,22.2,1.93,0.0
20190301:0106,0.0,0.0,0.0,21.67,1.86,0.0
20190301:0206,0.0,0.0,0.0,21.43,1.72,0.0
20190301:0306,0.0,0.0,0.0,20.65,1.45,0.0
20190301:0406,0.0,0.0,0.0,20.09,1.17,0.0
20190301:0506,142.03,203.3,15.8,21.54,0.48,0.0
20190301:0606,361.09,473.71,30.59,24.54,0.83,0.0
20190301:0706,522.68,695.61,45.27,27.0,1.03,0.0
20190301:0806,639.69,869.13,59.68,29.49,1.79,0.0
20190301:0906,717.43,995.87,73.11,30.9,1.93,0.0
20190301:1006,692.14,959.3,80.03,31.37,2.07,0.0
20190301:1106,439.79,597.21,70.99,32.17,1.86,0.0
20190301:1206,570.19,779.24,57.27,32.32,1.86,0.0
20190301:1306,348.42,468.42,42.79,32.27,2.0,0.0
20190301:1406,79.26,119.86,28.08,32.21,2.21,0.0
20190301:1506,13.01,29.96,13.28,31.65,2.21,0.0
20190301:1606,0.0,0.0,0.0,30.32,2.21,0.0
20190301:1706,0.0,0.0,0.0,28.73,3.1,0.0
20190301:1806,0.0,0.0,0.0,27.19,3.79,0.0
20190301:1906,0.0,0.0,0.0,26.18,3.17,0.0
20190301:2006,0.0,0.0,0.0,25.48,2.83,0.0
20190301:2106,0.0,0.0,0.0,24.86,2.48,0.0
20190301:2206,0.0,0.0,0.0,24.26,2.14,0.0
20190301:2306,0.0,0.0,0.0,23.79,2.0,0.0
20190302:0006,0.0,0.0,0.0,23.54,2.0,0.0
20190302:0106,0.0,0.0,0.0,23.09,2.07,0.0
20190302:0206,0.0,0.0,0.0,22.67,2.0,0.0
20190302:0306,0.0,0.0,0.0,22.24,1.72,0.0
20190302:0406,0.0,0.0,0.0,21.71,1.52,0.0
20190302:0506,119.83,171.26,15.88,22.47,1.31,0.0
20190302:0606,244.32,320.74,30.68,24.94,1.93,0.0
20190302:0706,485.78,641.57,45.39,26.86,1.31,0.0
20190302:0806,640.38,870.83,59.84,28.84,1.52,0.0
20190302:0906,724.33,1009.77,73.36,30.32,1.59,0.0
20190302:1006,741.63,1049.99,80.4,31.59,1.45,0.0
20190302:1106,690.51,967.12,71.14,31.38,1.38,0.0
20190302:1206,634.61,878.59,57.33,32.26,1.45,0.0
20190302:1306,505.75,685.99,42.81,32.38,1.45,0.0
20190302:1406,289.89,395.59,28.08,32.31,1.31,0.0
20190302:1506,74.81,118.07,13.26,31.58,0.55,0.0
20190302:1606,0.0,0.0,0.0,30.34,0.76,0.0
20190302:1706,0.0,0.0,0.0,28.63,2.21,0.0
20190302:1806,0.0,0.0,0.0,27.05,2.0,0.0
20190302:1906,0.0,0.0,0.0,25.45,2.41,0.0
20190302:2006,0.0,0.0,0.0,24.65,2.28,0.0
20190302:2106,0.0,0.0,0.0,24.23,2.07,0.0
20190302:2206,0.0,0.0,0.0,23.82,2.0,0.0
20190302:2306,0.0,0.0,0.0,23.38,2.0,0.0
20190303:0006,0.0,0.0,0.0,23.01,1.86,0.0
20190303:0106,0.0,0.0,0.0,22.69,1.72,0.0
20190303:0206,0.0,0.0,0.0,22.55,1.59,0.0
20190303:0306,0.0,0.0,0.0,22.24,1.38,0.0
20190303:0406,0.0,0.0,0.0,21.91,1.03,0.0
20190303:0506,143.39,206.0,15.95,22.63,0.76,0.0
20190303:0606,364.25,475.99,30.78,24.77,1.31,0.0
20190303:0706,545.63,723.5,45.51,26.55,1.24,0.0
20190303:0806,666.46,917.33,60.0,28.48,1.03,0.0
20190303:0906,736.28,1033.64,73.62,29.64,1.24,0.0
20190303:1006,765.05,1085.03,80.77,30.78,1.38,0.0
20190303:1106,727.42,1023.71,71.28,31.63,1.52,0.0
20190303:1206,635.32,878.01,57.39,32.29,1.59,0.0
20190303:1306,514.03,697.78,42.83,32.88,1.66,0.0
20190303:1406,330.54,450.58,28.07,32.67,1.72,0.0
20190303:1506,107.58,171.08,13.24,32.1,2.0,0.0
20190303:1606,0.0,0.0,0.0,30.31,1.93,0.0
20190303:1706,0.0,0.0,0.0,29.15,1.31,0.0
20190303:1806,0.0,0.0,0.0,28.68,0.55,0.0
20190303:1906,0.0,0.0,0.0,27.35,1.52,0.0
20190303:2006,0.0,0.0,0.0,25.98,1.93,0.0
20190303:2106,0.0,0.0,0.0,24.98,1.93,0.0
20190303:2206,0.0,0.0,0.0,24.45,1.93,0.0
20190303:2306,0.0,0.0,0.0,23.97,2.0,0.0
20190304:0006,0.0,0.0,0.0,23.76,1.79,0.0
20190304:0106,0.0,0.0,0.0,23.39,1.52,0.0
20190304:0206,0.0,0.0,0.0,23.04,1.72,0.0
20190304:0306,0.0,0.0,0.0,22.69,1.72,0.0
20190304:0406,0.0,0.0,0.0,22.3,1.66,0.0
20190304:0506,153.03,220.68,16.03,23.03,1.45,0.0
20190304:0606,358.36,466.28,30.87,25.56,2.28,0.0
20190304:0706,541.49,707.71,45.62,27.52,2.69,0.0
20190304:0806,646.74,872.95,60.16,29.07,2.07,0.0
20190304:0906,657.22,910.71,73.87,29.94,1.31,0.0
20190304:1006,500.98,685.8,81.15,29.73,0.83,0.0
20190304:1106,525.83,719.9,71.42,29.46,0.83,0.0
20190304:1206,466.22,626.76,57.44,28.87,1.1,0.0
20190304:1306,408.17,538.83,42.84,28.25,1.66,0.0
20190304:1406,53.04,83.9,28.06,27.04,2.0,0.0
20190304:1506,96.4,147.42,13.22,26.23,2.76,0.0
20190304:1606,0.0,0.0,0.0,25.65,2.55,0.0
20190304:1706,0.0,0.0,0.0,24.91,2.83,0.0
20190304:1806,0.0,0.0,0.0,24.1,2.41,0.0
20190304:1906,0.0,0.0,0.0,23.74,2.83,0.0
20190304:2006,0.0,0.0,0.0,23.45,2.41,0.0
20190304:2106,0.0,0.0,0.0,23.07,1.79,0.0
20190304:2206,0.0,0.0,0.0,22.72,1.59,0.0
20190304:2306,0.0,0.0,0.0,22.34,1.52,0.0
20190305:0006,0.0,0.0,0.0,22.0,1.52,0.0
20190305:0106,0.0,0.0,0.0,21.77,1.52,0.0
20190305:0206,0.0,0.0,0.0,21.49,1.45,0.0
20190305:0306,0.0,0.0,0.0,21.26,1.38,0.0
20190305:0406,0.0,0.0,0.0,21.02,1.31,0.0
20190305:0506,11.71,26.97,16.11,22.0,1.1,0.0
20190305:0606,34.44,58.93,30.97,24.5,1.93,0.0
20190305:0706,483.22,628.14,45.74,26.48,2.55,0.0
20190305:0806,450.33,594.68,60.32,28.12,2.34,0.0
20190305:0906,361.08,480.91,74.12,29.44,2.21,0.0
20190305:1006,774.22,1079.94,81.52,30.58,2.07,0.0
20190305:1106,700.49,972.85,71.55,30.68,1.66,0.0
20190305:1206,266.03,360.76,57.48,31.23,1.31,0.0
20190305:1306,48.71,79.9,42.85,31.76,1.66,0.0
20190305:1406,107.77,152.84,28.05,28.04,5.17,0.0
20190305:1506,48.07,77.05,13.19,24.09,2.76,0.0
20190305:1606,0.0,0.0,0.0,23.96,1.17,0.0
20190305:1706,0.0,0.0,0.0,23.94,0.69,0.0
20190305:1806,0.0,0.0,0.0,23.18,0.69,0.0
20190305:1906,0.0,0.0,0.0,22.35,1.1,0.0
20190305:2006,0.0,0.0,0.0,21.81,0.83,0.0
20190305:2106,0.0,0.0,0.0,21.8,0.62,0.0
20190305:2206,0.0,0.0,0.0,21.92,0.48,0.0
20190305:2306,0.0,0.0,0.0,21.68,0.48,0.0
20190306:0006,0.0,0.0,0.0,21.55,0.48,0.0
20190306:0106,0.0,0.0,0.0,21.3,0.62,0.0
